Year,China,India
1980,5123,8880
1981,6682,8670
1982,3308,8147
1983,1863,7338
1984,1527,5704
1985,1816,4211
1986,1960,7150
1987,2643,10189
1988,2758,11522
1989,4323,10343
1990,8076,12041
1991,14255,13734
1992,10846,13673
1993,9817,21496
1994,13128,18620
1995,14398,18489
1996,19415,23859
1997,20475,22268
1998,21049,17241
1999,30069,18974
2000,35529,28572
2001,36434,31223
2002,31961,31889
2003,36439,27155
2004,36619,28235
2005,42584,36210
2006,33518,33848
2007,27642,28742
2008,30037,28261
2009,29622,29456
2010,30391,34235
2011,28502,27509
2012,33024,30933
2013,34129,33087
